gradF1,gradF2,gradF3,gradF4,gradF5,gradF6,gradF7,gradF8,gradF9,gradF10,medF1,medF2,medF3,medF4,medF5,medF6,medF7,medF8,medF9,medF10,maxF1,maxF2,maxF3,maxF4,maxF5,maxF6,maxF7,maxF8,maxF9,maxF10,meanF1,meanF2,meanF3,meanF4,meanF5,meanF6,meanF7,meanF8,meanF9,meanF10,stdF1,stdF2,stdF3,stdF4,stdF5,stdF6,stdF7,stdF8,stdF9,stdF10,label
1.3585379056608489,8.712754271539643,1.0212008227800635,-1.158744815957822,-8.200704863069065,-3.31384739957611,0.5429173761593782,5.294683874121873,2.3758184050511257,1.5754134386484422,3333.1875,1310.1875,1445.1875,3161.8125,2809.5625,3481.375,382.625,3711.875,3569.125,3662.9375,3601.25,1434.0,1466.75,3536.625,3324.125,3677.25,385.125,3912.625,3802.375,3895.375,3256.072291666667,1221.8579166666666,1441.8275,3112.9591666666665,2842.3525,3509.3716666666664,376.40729166666665,3612.1470833333333,3501.619583333333,3581.6385416666667,403.41892144136955,241.46528832357043,18.28735240350235,423.176146318718,328.24882183791624,92.44803671365462,14.021982724963035,506.1887317691991,385.0803055703317,440.9507241281011,C
-0.5949881805227247,9.674397706660299,1.0140826085628019,-3.4187789410526146,-10.807588215522824,-4.274982708285301,0.5528875080208558,3.510679265775745,0.9060963711010311,0.04246119433665317,3374.9375,1441.125,1451.25,3197.1875,2850.8125,3487.25,387.875,3730.0625,3603.5625,3693.0625,3653.5,1614.75,1469.375,3591.875,3418.0,3713.25,394.0,3936.75,3844.875,3927.0,3291.764583333333,1345.57625,1446.405,3144.53125,2884.0675,3520.7495833333332,382.185,3633.8170833333334,3535.903125,3608.3039583333334,407.1821016117325,291.0616442577655,18.66352585693158,432.58788884579775,368.785708955485,109.14845498311789,15.956162360630394,489.3761334915387,382.06952958023993,435.4625666976994,C
-2.6659585512737527,8.250401355281543,0.9857033630648973,-5.66306948074856,-10.786420170611589,-4.115347785688296,0.4953959941555392,-0.9110387459409621,-1.9417484145789292,-2.3004942374839925,3351.875,1372.0,1441.6875,3178.75,2820.6875,3481.625,385.5,3721.4375,3594.625,3677.5,3627.75,1523.75,1462.0,3569.5,3371.5,3699.375,390.0,3929.125,3830.125,3914.0,3283.9064583333334,1288.6739583333333,1437.9245833333334,3137.190416666667,2847.4558333333334,3511.2222916666665,380.5185416666667,3659.790625,3549.677708333333,3603.7141666666666,350.0796319721909,256.3263593504766,17.785674777430774,378.9696633375948,354.01492396383634,102.88271717484294,14.044133385599755,336.2162786813238,288.43536979718715,373.9973784582295,C
-0.24110185028291373,9.894686860241281,1.0308329328692585,-2.886790588307189,-9.244382658007387,-3.9566875532987593,0.6071624504512511,2.3816011641699,0.3745920474779109,0.6251858685718553,3394.5625,1479.6875,1450.25,3226.75,2884.625,3497.75,396.6875,3750.1875,3624.6875,3716.625,3659.125,1640.875,1471.625,3600.25,3425.0,3717.25,400.5,3941.0,3851.625,3931.5,3328.5008333333335,1379.0104166666667,1446.87,3190.7179166666665,2922.671875,3531.4752083333333,389.9370833333333,3681.543125,3576.218125,3649.825625,374.21280377021407,293.64975076190905,18.679297024036714,395.0390538820981,345.40428698660344,103.41242012555985,16.33212041260027,408.2142794465912,330.124829601458,400.2559483256949,C
-3.978212995036101,7.763955490154138,0.8629561471004087,-6.772512215311709,-13.407442485951346,-4.900127361464892,0.4049744235400653,0.03185699821388149,-1.818028001466671,-2.881101162781007,3352.5625,1495.875,1462.9375,3161.125,2800.0625,3471.75,398.375,3710.9375,3592.3125,3670.125,3675.375,1677.5,1477.375,3621.875,3467.375,3739.75,405.125,3951.125,3867.0,3942.625,3292.9129166666667,1411.4764583333333,1458.8525,3137.8454166666666,2859.390625,3512.3975,394.026875,3643.6722916666668,3550.3502083333333,3604.333958333333,380.18577452739856,284.6008997782493,16.209789211372513,410.79232682488964,380.63067185702675,116.00095081751536,14.691404495581645,418.43139753212984,335.4366819023988,402.57570558208687,C
-2.0569437345659276,8.564826395351094,0.8806249114580876,-4.448550898752497,-10.9735304473068,-4.387622326728686,0.4775050416806713,1.5972482562451567,-0.43296856380156634,-0.7661582740507628,3368.25,1525.75,1464.3125,3183.4375,2834.75,3484.5625,399.75,3728.125,3606.875,3692.0,3677.625,1692.375,1481.75,3623.75,3470.0,3739.875,404.25,3951.875,3869.75,3944.0,3324.5135416666667,1432.6789583333334,1461.3202083333333,3178.0645833333333,2901.305625,3522.7845833333336,394.00854166666664,3672.1854166666667,3574.46125,3640.8785416666665,364.5513056829221,289.00481944694707,16.337262264899756,388.8151495498111,353.1558648139494,109.39463776405562,15.16097213654645,408.38439146396786,326.57952260871025,386.85789631560374,C
-4.146888706635295,6.639815492543033,0.3399531318142551,-6.407668354634318,-12.042376819102271,-4.259830096750273,0.35597140547612605,-0.7162925799793913,-1.449589790527196,-3.4035711904755277,3259.8125,1317.4375,1391.25,3076.1875,2627.75,3424.5625,478.5,3654.375,3541.6875,3573.125,3602.375,1436.875,1397.25,3556.125,3298.25,3677.0,486.0,3920.25,3829.375,3899.0,3237.0564583333335,1247.2802083333333,1389.896875,3096.099583333333,2719.516875,3463.7391666666667,475.0995833333333,3628.160625,3523.14,3550.6670833333333,338.6269468221705,218.60192985036844,7.280383317160092,358.78545896005636,325.47000126801487,98.93064554872117,14.445629448960792,354.9130103932443,317.54733764996513,373.704006918539,C
-3.950671981033277,7.8460472112422535,0.4991060739057607,-6.4353641954561,-12.758831621754512,-4.6356662796285555,0.4116405184458846,-0.056253697926937914,-1.0039917471992978,-2.803632787868857,3314.8125,1444.8125,1373.25,3130.6875,2687.8125,3438.6875,491.1875,3688.5,3585.25,3623.125,3650.25,1588.75,1381.5,3604.375,3379.75,3710.375,499.125,3940.25,3863.375,3925.125,3285.043958333333,1359.7704166666667,1370.760625,3144.505,2778.1625,3481.4441666666667,486.5129166666667,3652.170416666667,3559.2008333333333,3590.7775,351.94639009128497,263.707924647604,10.108985440129782,371.17955293005525,346.2265393021041,107.98845046282106,16.715552118634108,379.42089056513316,335.9745355569527,386.0025640041522,C
-5.064384658012941,7.783438217883945,0.5086880796891099,-7.537171769921585,-13.911878019105608,-4.807798042494564,0.3337750243750677,-1.1670636932324823,-2.3557376895491373,-4.195884641346226,3329.0625,1483.0625,1371.4375,3147.3125,2708.875,3448.9375,483.5,3695.75,3595.0625,3633.6875,3654.0,1642.125,1380.625,3607.0,3386.125,3713.25,493.25,3941.75,3868.5,3927.5,3283.838125,1399.3225,1369.57875,3139.13,2783.285,3487.6222916666666,479.7341666666667,3648.9152083333333,3563.6410416666668,3588.528333333333,354.1637705005519,271.4394089432526,10.255373225167334,380.4080312890338,357.6090594242602,109.1346803815202,16.050502950494387,371.9763176859473,318.65195311577395,374.2828046855445,C
-0.278918830330085,15.666151746254855,1.1243741649282368,-3.1191822407839993,-11.131278142439289,-4.718663419898388,0.7379585429403979,2.69510963919344,1.2831613768371595,0.5771698671385225,3480.875,1876.75,1723.5625,3315.625,2927.5,3505.375,461.875,3795.5625,3713.625,3747.4375,3727.375,2073.875,1743.0,3672.25,3509.0,3748.25,473.5,3969.25,3909.875,3956.25,3392.7279166666667,1717.6252083333334,1717.5033333333333,3253.651875,2954.4016666666666,3540.8185416666665,454.21729166666665,3707.5045833333334,3647.398125,3658.2879166666667,387.12744097109834,413.3720260148851,20.421162622640335,414.78788462749134,393.1087620061385,122.17268614095555,23.467879959060774,419.1171658948593,337.32916301931994,413.77959808420667,C
