grad1F1,grad1F2,grad1F3,grad1F4,grad1F5,grad1F6,grad1F7,grad1F8,grad1F9,grad1F10,med1F1,med1F2,med1F3,med1F4,med1F5,med1F6,med1F7,med1F8,med1F9,med1F10,max1F1,max1F2,max1F3,max1F4,max1F5,max1F6,max1F7,max1F8,max1F9,max1F10,mean1F1,mean1F2,mean1F3,mean1F4,mean1F5,mean1F6,mean1F7,mean1F8,mean1F9,mean1F10,std1F1,std1F2,std1F3,std1F4,std1F5,std1F6,std1F7,std1F8,std1F9,std1F10,grad2F1,grad2F2,grad2F3,grad2F4,grad2F5,grad2F6,grad2F7,grad2F8,grad2F9,grad2F10,med2F1,med2F2,med2F3,med2F4,med2F5,med2F6,med2F7,med2F8,med2F9,med2F10,max2F1,max2F2,max2F3,max2F4,max2F5,max2F6,max2F7,max2F8,max2F9,max2F10,mean2F1,mean2F2,mean2F3,mean2F4,mean2F5,mean2F6,mean2F7,mean2F8,mean2F9,mean2F10,std2F1,std2F2,std2F3,std2F4,std2F5,std2F6,std2F7,std2F8,std2F9,std2F10,label
348.16536614645855,13.512184873949579,1.7603841536614642,364.0705882352941,251.14933973589427,89.95954381752699,3.7819927971188463,655.8927370948378,408.06644657863137,600.9192076830731,1967.0,639.25,1402.0625,1766.1875,2138.4375,3432.6875,335.6875,1984.875,2350.25,2553.5,3118.375,702.75,1408.625,3085.375,2999.75,3636.25,348.125,3747.125,3446.5,3703.875,2162.4075,649.9175,1402.955,2031.01,2294.745,3438.96,337.13,2288.1725,2461.5575,2516.73,529.9582463397662,21.701426672982983,2.6961045216824835,563.3446916472567,384.2021217831222,133.4545980657765,5.696342363879705,997.1548751098584,611.376818575984,905.2069223641181,-10.33005076801156,5.113577219939723,0.9039146635796539,-13.483364212473733,-16.75991680212918,-5.131620239766385,0.2770746499838168,-7.942682951018021,-8.474403987511305,-9.927196588779104,3367.5,1326.4375,1447.1875,3204.0625,2844.0,3483.25,382.875,3733.6875,3595.375,3689.875,3601.25,1434.0,1466.75,3536.625,3324.125,3677.25,385.125,3912.625,3802.375,3895.375,3355.4963636363636,1273.8525,1445.3613636363636,3211.318181818182,2892.135,3515.7727272727275,379.97795454545457,3732.508409090909,3596.170681818182,3678.448409090909,183.4771085776061,176.27612754932014,14.632329339151227,225.29306925136214,273.11503899297594,85.10483293078511,7.638870474093024,129.0656925648203,144.76355709999268,162.29970275415027,C
389.1585234093637,17.59801920768307,2.0829531812725084,409.04039615846324,291.2492196878751,100.0938175270108,4.325090036014405,683.6400960384151,441.68343337334926,622.0429171668667,2090.9375,643.875,1402.6875,1882.1875,2201.8125,3469.75,336.25,2293.0,2508.375,2810.4375,3242.625,724.0,1410.75,3213.375,3121.25,3670.625,350.0,3810.75,3555.875,3775.25,2260.0925,657.0025,1403.845,2131.4725,2367.62,3462.9625,337.76,2428.945,2561.72,2626.4875,586.8650057341612,28.026380270584866,3.232740670839213,625.1039073268997,442.67479393881854,148.57340368278486,6.484667945804699,1036.1992996631725,659.2561030534835,939.6256182413064,-12.226349643830527,5.097131665949909,0.8545360781057425,-15.70595453508638,-19.83735880118612,-6.250461969971955,0.23391782812805706,-8.991079850301535,-9.695008443303644,-11.034280173428076,3415.25,1464.0,1453.0,3247.9375,2886.6875,3487.875,388.375,3752.5,3633.0,3719.25,3653.5,1614.75,1469.375,3591.875,3418.0,3713.25,394.0,3936.75,3844.875,3927.0,3385.5529545454547,1408.1738636363636,1450.274090909091,3236.6275,2931.017272727273,3526.0029545454545,386.2236363636364,3743.350909090909,3624.465227272727,3697.56,210.7370112139741,212.73258573296124,14.112145539291307,259.4863206029017,323.1093056411573,103.42357061250688,8.828927035589777,145.71987795628522,161.83467099640512,179.78539778153424,C
329.87166866746696,19.328091236494597,2.201800720288115,363.93511404561815,287.0265306122448,101.59339735894353,4.3304321728691475,482.6868547418967,330.5000600240096,540.4870948379349,2342.25,654.3125,1397.75,2171.375,2215.125,3486.4375,339.25,2989.5,2865.5,3094.25,3282.75,740.125,1405.75,3276.75,3117.75,3674.125,352.75,3847.875,3627.25,3798.25,2465.005,668.17,1398.805,2355.0625,2376.375,3471.25,340.7275,2930.5775,2891.8925,2842.4125,495.5026127682922,30.570299545240218,3.369672666231992,552.1998123981028,436.9993739196001,150.98844816604958,6.495420777088161,729.3832320286372,492.67501487998135,817.3338938506037,-12.568549663124356,3.9835417788007788,0.8548245839430274,-16.08734726095264,-19.31588504124282,-5.8516008467646365,0.209408806460367,-9.434616733518883,-9.88568767620269,-11.629082695690352,3390.75,1392.375,1443.625,3220.4375,2850.6875,3481.625,386.125,3737.4375,3622.5,3697.4375,3627.75,1523.75,1462.0,3569.5,3371.5,3699.375,390.0,3929.125,3830.125,3914.0,3358.3520454545455,1345.083409090909,1441.480909090909,3208.2929545454544,2890.2813636363635,3514.8561363636363,384.1359090909091,3726.0827272727274,3609.4763636363637,3672.923409090909,212.54856701861013,182.61934087003218,13.859313745502488,262.1166140599538,312.48631934419313,96.72315402443674,7.356984593229576,151.73047086677056,161.6134223710606,188.16234534759724,C
382.2214285714285,21.22605042016806,2.4554021608643457,413.741956782713,306.5466386554622,105.10324129651858,4.79969987995198,610.6247298919567,407.5990996398558,601.7929171668665,2245.625,653.3125,1404.0625,2077.625,2263.6875,3499.25,342.875,2835.6875,2760.3125,3064.5625,3306.375,746.75,1412.75,3299.125,3162.875,3687.875,357.125,3855.75,3635.5,3812.375,2380.8225,668.25,1405.1075,2276.3425,2403.7975,3480.42,344.1275,2728.33,2761.6175,2763.105,573.8078747265624,33.482890467843916,3.734236425786866,626.6740309585248,463.9085431520299,156.2318290658639,7.1600458362744455,924.4869070468334,606.7264535353992,912.9907903507604,-10.85297305265322,5.140365482800995,0.8846309784945946,-13.951167637218335,-17.845636664764324,-5.768158286924467,0.2890452981211959,-7.679404875568337,-8.632929966109584,-9.233697707190021,3429.625,1500.6875,1452.25,3265.8125,2912.0,3497.75,397.0,3764.4375,3650.5625,3735.1875,3659.125,1640.875,1471.625,3600.25,3425.0,3717.25,400.5,3941.0,3851.625,3931.5,3414.653409090909,1443.625,1450.666590909091,3273.8429545454546,2969.8422727272728,3536.116590909091,394.10159090909093,3768.1988636363635,3650.2727272727275,3730.4365909090907,184.85765832649284,209.26468758910772,14.358435763152622,228.3610138413876,290.19344308917016,96.07594298312381,8.829439855714112,123.52400996606336,141.8571320703802,149.26040528869427,C
429.4683673469386,27.516146458583428,3.0023409363745497,456.4160864345738,345.49921968787504,116.32070828331331,5.513805522208882,648.6527010804323,443.7704081632652,618.9721488595437,2399.0625,681.25,1417.9375,2182.4375,2415.6875,3543.375,349.8125,2984.3125,2857.3125,3258.875,3426.625,802.0,1428.625,3405.125,3282.375,3724.875,366.75,3896.75,3713.875,3866.0,2477.7775,700.7075,1419.3475,2353.675,2502.4925,3508.5875,351.485,2758.53,2812.9825,2846.58,643.228488624226,43.43124118027464,4.583430812197789,689.8516500720593,519.3478448351826,173.86118203504327,8.229978798296395,990.4095272194945,662.8414306029192,948.6181134165851,-14.306267834394045,2.369278816549058,0.6906941991393513,-17.619258936693708,-21.52726145751346,-6.490280463737073,0.06136703983093559,-10.02211690256527,-10.671133368134354,-12.403429838535912,3389.4375,1520.0,1464.5625,3190.875,2813.0,3469.75,399.125,3721.8125,3612.8125,3682.25,3675.375,1677.5,1477.375,3621.875,3467.375,3739.75,405.125,3951.125,3867.0,3942.625,3367.016136363636,1476.091818181818,1462.4438636363636,3209.1336363636365,2891.835909090909,3512.7438636363636,397.89431818181816,3724.139772727273,3617.3836363636365,3673.2206818181817,234.01265596336603,194.96963030371776,11.391055686924267,283.81127708383724,348.34702475130774,109.46405724748065,7.045353546314417,160.12331840828563,171.84624965488888,198.65118795766952,C
415.5395558223288,26.833793517406956,3.050660264105642,440.572268907563,337.99921968787504,114.4004801920768,5.353781512605042,635.7571428571426,434.37478991596635,602.6220888355341,2396.1875,686.6875,1420.6875,2187.6875,2375.5,3533.0625,348.1875,2969.375,2845.875,3219.875,3412.375,804.0,1431.375,3388.75,3271.25,3720.0,364.75,3892.0,3707.125,3861.75,2479.6375,705.3575,1422.015,2358.56,2484.8025,3502.54,349.875,2767.96,2815.16,2850.065,621.6992961454968,42.25589418190373,4.627284322805508,665.6497009597128,509.14902248576914,170.6108799195959,7.987953302266086,967.5201246522694,647.653568996322,919.4629738219978,-12.123238604244822,3.2304590939293867,0.7157583240695912,-14.972503770861456,-19.006612012842115,-6.001272310742425,0.1384315470314104,-8.186587183308495,-9.103190604086144,-10.003048740356464,3399.4375,1546.75,1466.0,3204.875,2844.6875,3483.875,400.0,3734.3125,3620.75,3699.625,3677.625,1692.375,1481.75,3623.75,3470.0,3739.875,404.25,3951.875,3869.75,3944.0,3401.3204545454546,1498.7990909090909,1464.893409090909,3252.565,2939.1695454545456,3524.625,398.0206818181818,3754.3877272727273,3643.4886363636365,3712.770681818182,198.95589019991158,195.99310605183547,11.653807158196294,242.22597288459949,309.36226635460116,102.07049824519255,7.181571154200045,131.08482063054956,147.1341654540393,160.30820440365625,C
418.7732893157261,27.790036014405764,3.328811524609843,448.60342136854734,330.7036614645857,105.97424969987992,8.478631452581032,586.2854141656663,464.1081032412964,609.288175270108,2579.0,665.25,1368.0,2458.25,2519.1875,3553.125,431.6875,3357.6875,3008.125,3440.5625,3415.375,777.125,1378.375,3409.625,3195.625,3674.625,452.75,3890.625,3719.375,3854.5,2559.0575,682.02,1369.175,2476.5125,2514.4975,3497.5675,432.155,2953.6575,2858.6275,2935.5225,624.0077072892431,43.05814738376988,5.071302815342222,671.9472707927055,494.67799416847,160.15565652702387,12.485771493821211,902.7594371048623,694.1652827142577,950.3754070592904,-13.033547639075598,2.483887535015139,0.214662542836355,-15.359102719798628,-18.10075083644153,-5.244021708261094,-0.008835761741060558,-8.667681576107393,-9.41985582822363,-11.531579172763609,3285.9375,1332.5,1391.5,3094.0625,2631.25,3421.8125,478.75,3659.1875,3554.6875,3576.9375,3602.375,1436.875,1397.25,3556.125,3298.25,3677.0,486.0,3920.25,3829.375,3899.0,3298.692727272727,1298.6675,1391.7806818181818,3152.4256818181816,2738.155,3460.6638636363637,479.00363636363636,3689.4790909090907,3583.550227272727,3606.5893181818183,211.39128964487034,142.22493358902815,3.5879761812311735,249.01985964839548,299.26804055165724,90.97043092743623,5.525806566463259,139.62302965130118,152.11641980446612,184.83263227024543,C
446.7006602641056,31.316866746698675,3.6867947178871545,482.99531812725075,352.3240696278511,115.825150060024,9.321788715486193,627.1595438175269,499.3670468187274,634.3196278511402,2605.625,659.625,1341.875,2527.125,2562.5625,3578.5625,436.75,3362.1875,3020.4375,3484.8125,3473.75,789.625,1353.25,3477.875,3269.0,3707.5,459.875,3913.375,3763.5,3882.875,2575.1875,679.7675,1343.055,2509.915,2548.5725,3514.9225,437.1875,2913.08,2848.4125,2937.3125,667.9189010072287,48.78638104804768,5.500067253763209,725.6290714874613,526.6470041894131,175.42599915590318,13.693931370411896,970.3448352708094,750.1311468032351,994.0357567103019,-13.144444053759461,2.8058586970535417,0.3454606311245505,-15.583204452366331,-19.312970636416836,-5.743144380041527,-0.006229336896380414,-8.540236196122663,-9.368484929627117,-11.18608198253999,3340.6875,1463.25,1374.0,3146.375,2691.25,3436.0625,492.0,3692.9375,3597.5625,3626.8125,3650.25,1588.75,1381.5,3604.375,3379.75,3710.375,499.125,3940.25,3863.375,3925.125,3349.5763636363636,1421.5888636363636,1373.279318181818,3202.195,2799.034318181818,3478.400681818182,490.99704545454546,3719.3604545454546,3623.8179545454545,3650.183409090909,212.75783275561375,172.39827580563423,5.703878600711468,251.62764821655526,317.4871291451102,99.32529670628281,6.811115864149571,136.9693661231162,150.8014809200345,178.74656197023836,C
447.7657262905161,34.12238895558222,4.0500600240096025,476.23481392557017,355.5043817527011,113.36926770708283,8.93895558223289,612.9755102040815,468.6922569027611,601.7700480192076,2686.375,682.25,1340.5,2522.6875,2655.25,3586.875,432.5,3423.875,3107.8125,3517.875,3489.0,820.0,1352.75,3476.25,3288.125,3710.875,454.5,3917.0,3780.75,3890.25,2614.4875,702.7575,1341.63,2515.175,2590.5475,3523.155,433.0075,2956.1,2932.4625,2995.6275,668.8877558147007,52.8230670203726,6.039620460436441,714.1759312955294,532.5883962332412,171.92825902102308,13.16904441739593,948.9619768704741,704.0940590837206,942.456274188027,-14.15291530640673,2.5432834939499416,0.35499750712924966,-16.893514118303635,-20.413621667870274,-5.94254771390679,-0.07891666959680403,-9.471067958451554,-10.239086590519157,-12.313917386353495,3354.6875,1504.1875,1372.375,3165.25,2710.875,3445.75,484.375,3700.1875,3608.25,3638.0,3654.0,1642.125,1380.625,3607.0,3386.125,3713.25,493.25,3941.75,3868.5,3927.5,3344.688181818182,1462.646590909091,1372.1195454545455,3195.853181818182,2800.806590909091,3484.3920454545455,483.98204545454547,3711.898409090909,3621.0209090909093,3642.428409090909,228.9303909571467,178.70002904621055,5.821232943339925,271.4512987318519,332.45115291794644,101.15041437836098,6.976708038364168,151.33960239676827,164.1895861205238,196.57854654029794,C
351.7968187274909,18.719027611044417,1.7072629051620642,367.9587034813925,278.44435774309716,98.87436974789914,5.130192076830731,577.6663865546216,370.78181272509,554.8537214885954,2235.3125,743.4375,1672.25,2054.75,2211.875,3448.75,389.3125,2590.25,2688.9375,2742.6875,3311.375,830.25,1678.875,3265.375,3123.0,3678.875,406.125,3842.75,3632.875,3764.5,2396.9025,757.1875,1673.1275,2266.315,2366.3025,3456.2025,391.1075,2671.14,2761.9025,2672.5175,529.6696002122744,29.801279013950843,2.596663135405806,559.8791621175674,422.5235110669426,145.925612449023,7.669554922163452,868.0217552731907,551.0403902297369,827.4564357521199,-11.400122209269513,9.93393252389414,0.9783612958600317,-15.007859124402819,-21.023177071359214,-7.115826348336539,0.27143566815698,-8.147246166704083,-8.1927196453542,-10.332400062028755,3519.375,1903.4375,1725.5,3366.25,2977.0,3508.375,463.125,3818.6875,3740.1875,3778.1875,3727.375,2073.875,1743.0,3672.25,3509.0,3748.25,473.5,3969.25,3909.875,3956.25,3483.2575,1804.9377272727272,1721.5375,3343.409772727273,3007.865227272727,3548.510909090909,459.95454545454544,3801.7195454545454,3727.8977272727275,3747.903409090909,199.87603291892015,307.7520695883293,16.085790657855224,250.77223560796216,343.96503969518096,116.93423209169049,14.139925010452098,133.02973261914784,138.38076165128442,170.73299403926566,C
