grad1F1,grad1F2,grad1F3,grad1F4,grad1F5,grad1F6,grad1F7,grad1F8,grad1F9,grad1F10,med1F1,med1F2,med1F3,med1F4,med1F5,med1F6,med1F7,med1F8,med1F9,med1F10,max1F1,max1F2,max1F3,max1F4,max1F5,max1F6,max1F7,max1F8,max1F9,max1F10,mean1F1,mean1F2,mean1F3,mean1F4,mean1F5,mean1F6,mean1F7,mean1F8,mean1F9,mean1F10,std1F1,std1F2,std1F3,std1F4,std1F5,std1F6,std1F7,std1F8,std1F9,std1F10,grad2F1,grad2F2,grad2F3,grad2F4,grad2F5,grad2F6,grad2F7,grad2F8,grad2F9,grad2F10,med2F1,med2F2,med2F3,med2F4,med2F5,med2F6,med2F7,med2F8,med2F9,med2F10,max2F1,max2F2,max2F3,max2F4,max2F5,max2F6,max2F7,max2F8,max2F9,max2F10,mean2F1,mean2F2,mean2F3,mean2F4,mean2F5,mean2F6,mean2F7,mean2F8,mean2F9,mean2F10,std2F1,std2F2,std2F3,std2F4,std2F5,std2F6,std2F7,std2F8,std2F9,std2F10,grad3F1,grad3F2,grad3F3,grad3F4,grad3F5,grad3F6,grad3F7,grad3F8,grad3F9,grad3F10,med3F1,med3F2,med3F3,med3F4,med3F5,med3F6,med3F7,med3F8,med3F9,med3F10,max3F1,max3F2,max3F3,max3F4,max3F5,max3F6,max3F7,max3F8,max3F9,max3F10,mean3F1,mean3F2,mean3F3,mean3F4,mean3F5,mean3F6,mean3F7,mean3F8,mean3F9,mean3F10,std3F1,std3F2,std3F3,std3F4,std3F5,std3F6,std3F7,std3F8,std3F9,std3F10,label
348.16536614645855,13.512184873949579,1.7603841536614642,364.0705882352941,251.14933973589427,89.95954381752699,3.7819927971188463,655.8927370948378,408.06644657863137,600.9192076830731,1967.0,639.25,1402.0625,1766.1875,2138.4375,3432.6875,335.6875,1984.875,2350.25,2553.5,3118.375,702.75,1408.625,3085.375,2999.75,3636.25,348.125,3747.125,3446.5,3703.875,2162.4075,649.9175,1402.955,2031.01,2294.745,3438.96,337.13,2288.1725,2461.5575,2516.73,529.9582463397662,21.701426672982983,2.6961045216824835,563.3446916472567,384.2021217831222,133.4545980657765,5.696342363879705,997.1548751098584,611.376818575984,905.2069223641181,78.08367346938773,50.9395558223289,2.818067226890755,73.76986794717884,56.21932773109241,5.403781512605041,3.74627851140456,25.846698679471782,58.710384153661444,31.917346938775495,3462.6875,820.0,1416.4375,3440.9375,3256.8125,3673.875,358.875,3890.3125,3724.125,3858.4375,3563.375,952.75,1422.75,3521.625,3320.0,3677.25,367.0,3911.75,3789.125,3891.625,3427.445,823.3225,1416.2125,3401.595,3228.405,3669.3325,358.6475,3873.645,3693.1275,3840.8075,118.9218229531056,74.32196098010716,4.1123608158321705,114.41116875425358,86.47195472568914,10.164514416160102,5.47511124199727,41.400917186428984,90.78719121115162,49.65222939535113,-12.877634070536287,0.8082368329473286,0.8155277621110482,-15.508446833787342,-17.92488005952024,-4.808595814383256,0.08347869391477569,-8.734544358177432,-10.058291553166212,-11.10186396745587,3350.125,1342.5,1449.1875,3165.5625,2794.5625,3472.75,383.125,3709.0,3576.8125,3658.625,3601.25,1434.0,1466.75,3536.625,3324.125,3671.25,385.125,3912.625,3802.375,3895.375,3348.3015,1318.9055,1448.27625,3192.2905,2858.508,3500.41675,382.111,3718.39475,3586.475,3662.2125,187.29036302734806,106.17047363176066,11.842649148954402,224.87083505240142,262.4276058413354,73.20763196514001,3.3326629419383447,126.34569337597863,145.63938138023525,160.72660226328495,C
389.1585234093637,17.59801920768307,2.0829531812725084,409.04039615846324,291.2492196878751,100.0938175270108,4.325090036014405,683.6400960384151,441.68343337334926,622.0429171668667,2090.9375,643.875,1402.6875,1882.1875,2201.8125,3469.75,336.25,2293.0,2508.375,2810.4375,3242.625,724.0,1410.75,3213.375,3121.25,3670.625,350.0,3810.75,3555.875,3775.25,2260.0925,657.0025,1403.845,2131.4725,2367.62,3462.9625,337.76,2428.945,2561.72,2626.4875,586.8650057341612,28.026380270584866,3.232740670839213,625.1039073268997,442.67479393881854,148.57340368278486,6.484667945804699,1036.1992996631725,659.2561030534835,939.6256182413064,66.89333733493396,63.44201680672268,3.4252701080432164,62.175030012004754,52.45084033613444,6.157022809123647,4.390756302521008,19.937515006002393,47.71044417767106,25.249519807923157,3535.9375,869.5,1420.25,3510.0,3351.0,3709.6875,362.4375,3918.875,3784.4375,3897.9375,3622.25,1035.25,1427.75,3579.625,3413.5,3713.25,371.875,3936.125,3836.25,3924.5,3505.8875,873.78,1419.9525,3477.645,3325.7975,3704.485,362.105,3906.4125,3758.925,3884.1075,101.80012507635354,92.57004573482146,5.000056759881914,96.15820350880529,79.98491523119104,10.978371594054503,6.411552869943567,31.77230104226648,73.94629273454942,39.19762046674647,-14.751727166908672,-0.3331571526286114,0.7337177948711796,-17.785346681386727,-21.244853119412486,-5.969552818211275,-0.011411445645782616,-9.834643598574393,-11.17688064752259,-12.24943977775911,3387.75,1486.4375,1454.5625,3195.0625,2824.1875,3473.75,388.875,3723.0625,3606.25,3682.875,3653.5,1614.75,1469.375,3591.875,3418.0,3707.875,394.0,3936.75,3844.875,3927.0,3373.5195,1461.61325,1453.30625,3212.52575,2891.53925,3508.15475,388.6355,3727.04475,3611.01925,3678.90525,215.04958691407387,132.18120402342257,10.738543304942446,258.39766436461014,311.5353502849106,90.80320563170379,4.1961565998447705,142.59094952506774,162.12676954158889,177.69356628247363,C
329.87166866746696,19.328091236494597,2.201800720288115,363.93511404561815,287.0265306122448,101.59339735894353,4.3304321728691475,482.6868547418967,330.5000600240096,540.4870948379349,2342.25,654.3125,1397.75,2171.375,2215.125,3486.4375,339.25,2989.5,2865.5,3094.25,3282.75,740.125,1405.75,3276.75,3117.75,3674.125,352.75,3847.875,3627.25,3798.25,2465.005,668.17,1398.805,2355.0625,2376.375,3471.25,340.7275,2930.5775,2891.8925,2842.4125,495.5026127682922,30.570299545240218,3.369672666231992,552.1998123981028,436.9993739196001,150.98844816604958,6.495420777088161,729.3832320286372,492.67501487998135,817.3338938506037,57.1581632653061,60.406122448979566,2.8998199279711874,48.77857142857142,43.859003601440556,1.0632052821128442,3.8837935174069607,12.78397358943577,33.890456182472974,19.1641656662665,3533.375,884.0,1414.125,3514.625,3329.75,3695.25,364.375,3920.8125,3793.625,3897.1875,3606.125,1036.625,1420.25,3565.125,3371.25,3699.375,372.5,3929.125,3827.5,3913.875,3507.3275,886.295,1413.7875,3487.6675,3304.4225,3693.5725,363.815,3911.6875,3774.3425,3885.3075,87.04892071826212,88.0868612651797,4.238373201826283,75.92525195169637,68.33638982815013,5.713676864885387,5.678416439933419,20.779043633832977,52.889003488920274,30.29323325211997,-14.819402877611507,-0.8143156372625482,0.7693191772767093,-17.773274573098295,-20.286617606470422,-5.43048348193393,0.006603986415945709,-10.120269701078808,-11.01549476197905,-12.693995175980715,3359.0,1412.25,1445.4375,3168.375,2793.625,3468.75,386.625,3708.6875,3590.875,3661.625,3627.75,1523.75,1462.0,3569.5,3371.5,3686.125,390.0,3928.875,3830.125,3914.0,3343.4545,1390.96225,1444.25025,3180.3555,2848.86725,3496.9845,386.168,3707.52225,3592.98975,3651.685,215.66954745547474,112.82555647358741,11.18178634562736,257.72196677148645,296.7646364884599,82.27505357720689,3.2966573068484992,146.59320045290485,159.57900345243812,184.0946596521063,C
382.2214285714285,21.22605042016806,2.4554021608643457,413.741956782713,306.5466386554622,105.10324129651858,4.79969987995198,610.6247298919567,407.5990996398558,601.7929171668665,2245.625,653.3125,1404.0625,2077.625,2263.6875,3499.25,342.875,2835.6875,2760.3125,3064.5625,3306.375,746.75,1412.75,3299.125,3162.875,3687.875,357.125,3855.75,3635.5,3812.375,2380.8225,668.25,1405.1075,2276.3425,2403.7975,3480.42,344.1275,2728.33,2761.6175,2763.105,573.8078747265624,33.482890467843916,3.734236425786866,626.6740309585248,463.9085431520299,156.2318290658639,7.1600458362744455,924.4869070468334,606.7264535353992,912.9907903507604,57.699759903961564,67.56854741896757,3.2196878751500586,49.69315726290516,45.981872749099615,3.0506602641056406,4.379411764705881,13.524009603841531,35.64915966386553,19.637094837935162,3560.6875,906.0,1421.9375,3538.75,3372.5625,3714.1875,369.75,3930.125,3809.8125,3911.5,3634.625,1078.75,1428.75,3592.875,3423.125,3717.25,379.5,3940.875,3847.0,3930.375,3534.51,909.24,1421.59,3512.275,3348.865,3711.565,369.4275,3921.345,3790.1125,3899.975,87.89033867640438,98.54614336669385,4.705351382484953,77.06420841991277,70.6997723201599,6.873503547711904,6.395055986574985,21.684889053562305,55.516833320063874,30.822897664044554,-12.920880743522973,-0.2796207984831931,0.7904137016548065,-15.471374905499633,-18.795402541610166,-5.364545198180793,0.054642578570314314,-8.213276553106214,-9.680180420721685,-10.07177354709419,3402.5,1521.0625,1454.25,3219.5625,2861.0,3486.375,397.125,3740.8125,3623.625,3706.4375,3659.125,1640.875,1471.625,3600.25,3425.0,3709.625,400.5,3941.0,3851.625,3931.5,3402.66775,1497.0635,1453.57425,3249.99975,2931.94,3518.57175,396.569,3752.88425,3636.28875,3713.48275,187.761858606273,125.50171594109108,11.465718188349536,224.77741502160544,276.2705744793431,82.20726558350508,3.827692380262007,118.97814970995437,140.29180923405272,145.77246789424768,C
429.4683673469386,27.516146458583428,3.0023409363745497,456.4160864345738,345.49921968787504,116.32070828331331,5.513805522208882,648.6527010804323,443.7704081632652,618.9721488595437,2399.0625,681.25,1417.9375,2182.4375,2415.6875,3543.375,349.8125,2984.3125,2857.3125,3258.875,3426.625,802.0,1428.625,3405.125,3282.375,3724.875,366.75,3896.75,3713.875,3866.0,2477.7775,700.7075,1419.3475,2353.675,2502.4925,3508.5875,351.485,2758.53,2812.9825,2846.58,643.228488624226,43.43124118027464,4.583430812197789,689.8516500720593,519.3478448351826,173.86118203504327,8.229978798296395,990.4095272194945,662.8414306029192,948.6181134165851,41.78361344537814,79.0004801920768,3.3273709483793508,35.84405762304921,30.720408163265294,-3.0781512605042005,4.637755102040815,8.035714285714283,24.981092436974784,12.072088835534206,3620.0625,995.6875,1438.6875,3589.9375,3448.1875,3734.5,380.25,3947.625,3847.0625,3935.8125,3667.875,1189.75,1445.25,3621.375,3467.375,3739.75,390.0,3951.125,3866.875,3942.625,3598.8425,996.785,1438.2,3568.03,3425.63,3732.49,379.8375,3940.8325,3830.8325,3926.6675,64.31783825348953,115.1742912825991,4.875621362807962,56.59640817549596,49.65615803314071,6.8610870353117095,6.781824543045409,13.611351289588093,39.83658111777491,19.803879135829185,-16.023302533210128,-3.2523322093288387,0.5959682838731357,-18.749628838515346,-21.637402949611808,-5.734831759327041,-0.16130728522914092,-10.487123948495794,-11.410723302893214,-13.175532502130011,3343.4375,1544.0,1466.0625,3140.25,2761.25,3459.25,399.875,3695.1875,3583.0,3649.0625,3675.375,1677.5,1477.375,3621.875,3463.25,3714.875,405.125,3949.625,3867.0,3942.0,3343.8335,1524.0225,1464.86825,3173.244,2838.4565,3490.76925,399.7,3702.4705,3596.03875,3647.876,232.20517722244648,123.28020019154953,8.697112464372065,272.2282292840666,319.1498396687223,88.63425818573634,3.762587424666239,151.70658553087557,165.26537013184932,190.5200206159736,C
415.5395558223288,26.833793517406956,3.050660264105642,440.572268907563,337.99921968787504,114.4004801920768,5.353781512605042,635.7571428571426,434.37478991596635,602.6220888355341,2396.1875,686.6875,1420.6875,2187.6875,2375.5,3533.0625,348.1875,2969.375,2845.875,3219.875,3412.375,804.0,1431.375,3388.75,3271.25,3720.0,364.75,3892.0,3707.125,3861.75,2479.6375,705.3575,1422.015,2358.56,2484.8025,3502.54,349.875,2767.96,2815.16,2850.065,621.6992961454968,42.25589418190373,4.627284322805508,665.6497009597128,509.14902248576914,170.6108799195959,7.987953302266086,967.5201246522694,647.653568996322,919.4629738219978,44.45768307322927,79.59537815126046,3.3570828331332527,38.99321728691474,33.77088835534213,-1.503181272509003,4.774609843937573,8.991476590636253,26.539675870348127,13.103361344537808,3616.75,997.375,1441.6875,3586.6875,3445.5625,3734.625,378.75,3947.5625,3847.6875,3935.25,3668.375,1194.5,1448.25,3622.875,3470.0,3739.875,388.75,3951.875,3869.5,3944.0,3594.4425,999.0225,1441.1075,3563.5325,3422.9125,3733.0525,378.1975,3940.295,3830.7375,3926.065,68.33925636454632,116.04789511429831,4.923458139460556,61.29333020652508,53.77949623751811,6.0176764491736146,6.978103965188509,15.035963689821571,42.214491554368834,21.20117800924259,-13.631260665042658,-2.3768972075888306,0.6353439813759258,-15.862606710426842,-18.9461431245725,-5.234942399769601,-0.08218724874899501,-8.451357205428826,-9.671189384757541,-10.511669026676111,3364.25,1567.125,1467.8125,3173.125,2818.0625,3479.75,400.375,3721.6875,3602.125,3683.5625,3677.625,1692.375,1481.75,3623.75,3468.0,3718.75,404.25,3950.875,3869.75,3943.625,3382.00825,1548.77675,1467.272,3221.46825,2890.79525,3503.78225,400.003,3735.797,3624.76375,3691.44125,197.43435884565042,115.79901533299702,9.202166905218737,231.35515501321748,281.4574631998044,81.67348587686251,2.9409461621487254,122.77382121548429,140.6346006464464,152.36529812537097,C
418.7732893157261,27.790036014405764,3.328811524609843,448.60342136854734,330.7036614645857,105.97424969987992,8.478631452581032,586.2854141656663,464.1081032412964,609.288175270108,2579.0,665.25,1368.0,2458.25,2519.1875,3553.125,431.6875,3357.6875,3008.125,3440.5625,3415.375,777.125,1378.375,3409.625,3195.625,3674.625,452.75,3890.625,3719.375,3854.5,2559.0575,682.02,1369.175,2476.5125,2514.4975,3497.5675,432.155,2953.6575,2858.6275,2935.5225,624.0077072892431,43.05814738376988,5.071302815342222,671.9472707927055,494.67799416847,160.15565652702387,12.485771493821211,902.7594371048623,694.1652827142577,950.3754070592904,32.03895558223288,61.63829531812723,1.8698679471788708,23.255342136854736,11.312184873949574,-9.66272509003601,4.494957983193275,2.616926770708283,17.359483793517402,5.324369747899159,3565.875,933.75,1385.0,3543.125,3286.625,3665.8125,467.125,3916.9375,3819.9375,3895.3125,3600.125,1081.125,1388.0,3556.125,3298.25,3677.0,475.75,3920.25,3829.375,3899.0,3548.8075,933.09,1384.43,3525.31,3277.6525,3661.6025,466.05,3914.65,3806.4825,3890.895,49.54000271116715,89.85848795268512,2.7782822104344116,38.15031561642253,24.338326545401845,14.619835779320018,6.5962748454513855,6.585969936159741,28.539088952072138,10.556135173249645,-14.078162012648056,-1.5811995847983393,0.1868175272701091,-15.54413335653343,-16.982028308113236,-4.317738230952925,-0.18724226896907584,-8.567040188160751,-9.6124716498866,-11.601014784059142,3243.0625,1347.5625,1391.75,3051.3125,2591.375,3412.5625,479.5,3636.3125,3529.1875,3545.875,3602.375,1436.875,1397.25,3553.5,3272.0,3629.875,486.0,3911.625,3827.625,3891.625,3273.68125,1335.22525,1392.51575,3115.13725,2684.20525,3440.57,480.299,3666.962,3561.257,3578.15875,205.00673483410793,82.04429261434751,2.7294794932565862,229.6870428572333,257.675737070134,68.07021160107283,3.290422124213104,125.91785782739343,141.06799933675163,169.3110415397117,C
446.7006602641056,31.316866746698675,3.6867947178871545,482.99531812725075,352.3240696278511,115.825150060024,9.321788715486193,627.1595438175269,499.3670468187274,634.3196278511402,2605.625,659.625,1341.875,2527.125,2562.5625,3578.5625,436.75,3362.1875,3020.4375,3484.8125,3473.75,789.625,1353.25,3477.875,3269.0,3707.5,459.875,3913.375,3763.5,3882.875,2575.1875,679.7675,1343.055,2509.915,2548.5725,3514.9225,437.1875,2913.08,2848.4125,2937.3125,667.9189010072287,48.78638104804768,5.500067253763209,725.6290714874613,526.6470041894131,175.42599915590318,13.693931370411896,970.3448352708094,750.1311468032351,994.0357567103019,30.13157262905161,75.81878751500597,2.6534813925570226,19.828871548619436,13.831452581032407,-9.304501800720285,5.3409963985594215,2.536554621848739,15.548979591836728,5.400780312124847,3615.25,980.9375,1362.6875,3593.875,3369.4375,3699.5,475.5625,3937.5625,3855.0625,3921.9375,3648.125,1162.375,1366.5,3604.375,3379.75,3710.375,486.5,3940.25,3863.375,3925.125,3599.4,980.1875,1361.6525,3578.2725,3358.075,3695.4525,474.7775,3935.3775,3842.94,3917.4025,46.55381459194536,110.53149729435792,3.9702569250642212,32.75546856119243,27.172012067491764,14.098276825157589,7.8192385224795755,5.989121196309325,25.65843687080453,10.179395016805442,-14.227701630806521,-2.1677095508382034,0.3036813747254988,-15.796837687350752,-18.34004122016489,-4.769734198936798,-0.22772899091596377,-8.518161412645652,-9.592582350329401,-11.366777987111949,3298.1875,1481.625,1374.5,3104.75,2649.75,3427.75,492.625,3671.625,3572.6875,3597.5625,3650.25,1588.75,1381.5,3601.625,3358.875,3664.75,499.125,3933.5,3861.875,3919.75,3324.594,1465.729,1374.442,3164.58725,2743.13025,3456.6955,492.619,3697.75875,3601.90575,3623.4615,206.66319902721986,100.12359563462361,4.398453282980866,232.3069156305664,276.3671070730586,75.11242261978795,4.004978927837806,124.473486392955,140.22456411038476,165.13990741426363,C
447.7657262905161,34.12238895558222,4.0500600240096025,476.23481392557017,355.5043817527011,113.36926770708283,8.93895558223289,612.9755102040815,468.6922569027611,601.7700480192076,2686.375,682.25,1340.5,2522.6875,2655.25,3586.875,432.5,3423.875,3107.8125,3517.875,3489.0,820.0,1352.75,3476.25,3288.125,3710.875,454.5,3917.0,3780.75,3890.25,2614.4875,702.7575,1341.63,2515.175,2590.5475,3523.155,433.0075,2956.1,2932.4625,2995.6275,668.8877558147007,52.8230670203726,6.039620460436441,714.1759312955294,532.5883962332412,171.92825902102308,13.16904441739593,948.9619768704741,704.0940590837206,942.456274188027,28.140096038415358,76.83985594237693,2.363505402160863,20.73661464585833,11.777130852340932,-8.8109843937575,5.039195678271306,2.310264105642257,13.463625450180064,4.60270108043217,3621.4375,1015.5625,1361.0,3594.875,3376.375,3702.3125,470.5625,3939.25,3861.9375,3924.625,3651.875,1198.75,1364.875,3607.0,3386.125,3713.25,480.625,3941.75,3868.5,3927.5,3606.52,1014.53,1360.32,3579.315,3366.9075,3698.9025,469.5675,3937.2375,3851.065,3920.7725,43.5065922755227,112.02038227893335,3.502473615685264,33.90516335369609,23.670837591769292,13.274916166767078,7.3826797613863535,5.52402279196261,22.426968209306057,8.844954531441376,-15.409478477913913,-2.6068594074376295,0.3143848175392701,-17.444295057180238,-19.70975987903952,-5.069179676718708,-0.3003481213924855,-9.633821655286626,-10.605097860391444,-12.720279601118404,3309.1875,1524.375,1373.3125,3116.5,2662.0625,3435.5625,485.125,3673.5,3578.625,3602.625,3654.0,1642.125,1380.625,3605.125,3366.125,3670.25,493.25,3935.375,3866.875,3922.25,3318.505,1507.45825,1373.2995,3157.507,2744.1965,3462.941,485.4235,3689.3645,3598.0165,3614.594,223.42428033471697,108.48062935186474,4.553207732061269,254.45850710809285,293.6339620942037,78.53361350976917,5.029717324335976,139.99605393540563,154.1984368227745,184.30443014872145,C
351.7968187274909,18.719027611044417,1.7072629051620642,367.9587034813925,278.44435774309716,98.87436974789914,5.130192076830731,577.6663865546216,370.78181272509,554.8537214885954,2235.3125,743.4375,1672.25,2054.75,2211.875,3448.75,389.3125,2590.25,2688.9375,2742.6875,3311.375,830.25,1678.875,3265.375,3123.0,3678.875,406.125,3842.75,3632.875,3764.5,2396.9025,757.1875,1673.1275,2266.315,2366.3025,3456.2025,391.1075,2671.14,2761.9025,2672.5175,529.6696002122744,29.801279013950843,2.596663135405806,559.8791621175674,422.5235110669426,145.925612449023,7.669554922163452,868.0217552731907,551.0403902297369,827.4564357521199,66.87923169267704,81.38259303721485,3.440816326530611,66.04303721488594,66.4642256902761,11.727911164465779,6.305102040816325,19.856782713085227,44.8283913565426,30.936434573829523,3608.75,1009.4375,1688.0625,3579.3125,3412.4375,3740.4375,423.0625,3948.375,3854.0625,3919.375,3693.375,1228.75,1695.875,3654.375,3497.0,3748.25,437.875,3967.125,3900.75,3950.75,3577.865,1017.405,1687.88,3545.2225,3382.655,3732.1675,422.9675,3936.485,3829.0375,3901.6125,102.04796053817047,118.85648973893359,5.019601882741751,102.065937227323,101.06945846136442,18.826537833221334,9.194150550036403,31.44018291996432,69.93235730485772,48.4237859124195,-13.991601946407789,2.7452494209976814,0.8544795579182317,-17.377552590210367,-23.101061224244898,-7.05861801447206,-0.13325243300973208,-9.084929979719922,-9.614277717110872,-11.754390097560398,3498.4375,1929.9375,1727.375,3320.0,2905.6875,3490.6875,464.5,3791.1875,3719.3125,3744.5625,3727.375,2073.875,1743.0,3672.25,3509.0,3747.125,473.5,3969.25,3909.875,3956.25,3473.79675,1883.691,1724.90325,3323.2285,2970.38625,3530.14525,463.65325,3788.243,3717.78375,3732.5325,204.8031847216536,185.61968167856804,12.54371796591093,252.34090413873284,337.1667209261431,106.26007966422755,7.802844157189272,131.8001817214362,139.50014528938328,170.9859461148418,C
